model_name,category,total,correct,accuracy,hallucination_rate,refusal_rate
llama3,adversarial,51,49,0.9608,0.0392,0.9608
llama3,easy,59,59,1.0,0.0,0.339
llama3,hard,58,51,0.8793,0.069,0.431
llama3,trap,55,55,1.0,0.0,1.0
mistral,adversarial,51,51,1.0,0.0,1.0
mistral,easy,59,57,0.9661,0.0339,0.2373
mistral,hard,58,48,0.8276,0.1379,0.3103
mistral,trap,55,55,1.0,0.0,1.0
phi3,adversarial,51,45,0.8824,0.1176,0.8824
phi3,easy,59,59,1.0,0.0,0.1186
phi3,hard,58,50,0.8621,0.1379,0.1897
phi3,trap,55,53,0.9636,0.0364,0.9636
tinyllama,adversarial,51,19,0.3725,0.6275,0.3725
tinyllama,easy,59,52,0.8814,0.1017,0.2034
tinyllama,hard,58,34,0.5862,0.2759,0.3448
tinyllama,trap,55,19,0.3455,0.6545,0.3455
